NC_010830.1	CAas	Candidatus Amoebophilus asiaticus 5a2 5a2
NC_013861.1	LlNS	Legionella longbeachae NSW150 NSW150
NZ_LN681225.1	LhAT	Legionella hackeliae ATCC35250
NZ_LN614827.1	LfLL	Legionella fallonii LLAP-10 LLAP-10
NZ_CP004006.1	LoAT	Legionella oakridgensis ATCC 33761 = DSM 21215 ATCC 33761 = DSM 21215; OR-10
NZ_CP025491.2	LsLA	Legionella sainthelensi LA01-117
NZ_CP016397.1	LcCD	Legionella clemsonensis CDC-D5610
NZ_CP021497.1	Leof	Legionella endosymbiont of Polyplax serrata PsAG
NZ_LT906457.1	LsNC	Legionella spiritensis NCTC11990
NZ_LT906442.1	LwNC	Legionella waltersii NCTC13017
NZ_CP038254.1	LiHL	Legionella israelensis HL-0427-4011
NZ_LR134383.1	LjNC	Legionella jordanis NCTC11533
NZ_LT906451.1	LlNC	Legionella lansingensis NCTC12830
NZ_LR134178.1	LsN2	Legionella sainthelensi NCTC12450
NZ_LR134173.1	LcNC	Legionella cherrii NCTC11976
NZ_CP038271.1	LgXX	Legionella geestiana 1308
NZ_CP020412.2	LlFD	Legionella longbeachae FDAARGOS_201
NC_006368.1	LpPa	Legionella pneumophila str. Paris Paris
NC_006369.1	LpLe	Legionella pneumophila str. Lens Lens
NZ_CP020894.2	LlFC	Legionella longbeachae F1157CHC
NZ_LR134388.1	LsN3	Legionella sainthelensi NCTC11988
NZ_CP038273.1	LiBe	Legionella israelensis Bercovier 4
NZ_LR134374.1	LsN4	Legionella spiritensis NCTC12082
NC_009494.2	LpCo	Legionella pneumophila str. Corby Corby
NC_014125.1	LpAl	Legionella pneumophila 2300/99 Alcoy 2300/99 Alcoy
LR134286.1	LoNC	Legionella oakridgensis NCTC11531
NZ_CP015927.1	LpPh	Legionella pneumophila Philadelphia_1_ATCC
NZ_CP015928.1	LpP2	Legionella pneumophila Philadelphia_1_CDC
NZ_CP015929.1	LpP3	Legionella pneumophila Philadelphia_2
NZ_CP015930.1	LpP4	Legionella pneumophila Philadelphia_3
NZ_CP015931.1	LpP5	Legionella pneumophila Philadelphia_4
LR134410.1	LaNC	Legionella adelaidensis NCTC12735
NC_015702.1	PaUV	Parachlamydia acanthamoebae UV-7 UV-7
NC_005861.1	CPam	Candidatus Protochlamydia amoebophila UWE25 UWE25
NZ_LN879502.1	CPna	Candidatus Protochlamydia naegleriophila KNic
NC_007940.1	RbRM	Rickettsia bellii RML369-C RML369-C
NC_010263.3	RrIo	Rickettsia rickettsii str. Iowa Iowa
NC_000963.1	RpMa	Rickettsia prowazekii str. Madrid E Madrid E
NC_003103.1	RcMa	Rickettsia conorii str. Malish 7 Malish 7
NC_009879.1	RcMc	Rickettsia canadensis str. McKiel McKiel
NC_012633.1	RaES	Rickettsia africae ESF-5 ESF-5
NC_009900.1	RmMT	Rickettsia massiliae MTU5 MTU5
NC_006142.1	RtWi	Rickettsia typhi str. Wilmington Wilmington
NC_012730.1	RpRu	Rickettsia peacockii str. Rustic Rustic
NC_016639.1	RsB	Rickettsia slovaca 13-B 13-B
NC_016050.1	RjYH	Rickettsia japonica YH YH
NC_016930.1	RpD	Rickettsia philipii str. 364D 364D
NC_017044.1	RpPo	Rickettsia parkeri str. Portsmouth Portsmouth
NC_017058.1	RaCu	Rickettsia australis str. Cutlack Cutlack
NC_017042.1	Rrfe	Rickettsia rhipicephali str. 3-7-female6-CWPP 3-7-female6-CWPP
NC_017043.1	RmOS	Rickettsia montanensis str. OSU 85-930 OSU 85-930
NZ_CP016305.1	RsME	Rickettsia sp. MEAM1 (Bemisia tabaci) MEAM1
NZ_LN794217.1	RmIr	Rickettsia monacensis IrR/Munich
NZ_AP017602.1	RjY2	Rickettsia japonica YH_M
NC_017065.1	RsDC	Rickettsia slovaca str. D-CWPP D-CWPP
NC_017066.1	RtTH	Rickettsia typhi str. TH1527 TH1527
NC_016929.1	RcCA	Rickettsia canadensis str. CA410 CA410
NC_017560.1	RpRp	Rickettsia prowazekii str. Rp22 Rp22
NC_009882.1	RrSh	Rickettsia rickettsii str. 'Sheila Smith' Sheila Smith
NC_009883.1	RbOS	Rickettsia bellii OSU 85-389 OSU 85-389
NZ_CP015010.1	RbAn	Rickettsia bellii An04
NC_016908.1	RrCo	Rickettsia rickettsii str. Colombia Colombia
NC_017049.1	RpCh	Rickettsia prowazekii str. Chernikova Chernikova
NC_017062.1	RtBC	Rickettsia typhi str. B9991CWPP B9991CWPP
NZ_AP017581.1	RjTs	Rickettsia japonica Tsuneishi
NZ_AP017580.1	RjPO	Rickettsia japonica PO-1
NZ_LS992663.1	RtTM	Rickettsia typhi TM2540
NC_017050.1	RpKa	Rickettsia prowazekii str. Katsinyian Katsinyian
NC_016909.1	RrAr	Rickettsia rickettsii str. Arizona Arizona
NC_016914.1	RrHi	Rickettsia rickettsii str. Hino Hino
NC_017056.1	RpBu	Rickettsia prowazekii str. BuV67-CWPP BuV67-CWPP
NZ_AP017579.1	RjOH	Rickettsia japonica OHH-1
NZ_AP017578.1	RjNa	Rickettsia japonica Nakase
NC_017048.1	RpGv	Rickettsia prowazekii str. GvV257 GvV257
NC_016915.1	RrHl	Rickettsia rickettsii str. Hlp#2 Hlp#2
NC_016913.1	RrBr	Rickettsia rickettsii str. Brazil Brazil
NC_017057.1	RpR2	Rickettsia prowazekii str. RpGvF24 RpGvF24
NZ_AP017577.1	RjMZ	Rickettsia japonica MZ08014
NZ_AP017576.1	RjH3	Rickettsia japonica HH07167
NC_020992.1	RpNM	Rickettsia prowazekii str. NMRC Madrid E NMRC Madrid E
NZ_CP006009.1	RrR	Rickettsia rickettsii str. R R
NZ_CP006010.1	RrMo	Rickettsia rickettsii str. Morgan Morgan
NC_020993.1	RpBr	Rickettsia prowazekii str. Breinl Breinl
NZ_AP017575.1	RjH4	Rickettsia japonica HH07124
NZ_AP017574.1	RjH2	Rickettsia japonica HH06154
NZ_CP014865.1	RpNa	Rickettsia prowazekii Naples-1
NZ_CP018913.1	RrI2	Rickettsia rickettsii Iowa
NZ_CP018914.1	RrI3	Rickettsia rickettsii Iowa
NZ_AP017573.1	RjH5	Rickettsia japonica HH-1
NZ_AP017572.1	RjDT	Rickettsia japonica DT-1
CP032049.1	RjLA	Rickettsia japonica LA4/2015
NC_009881.1	RaHa	Rickettsia akari str. Hartford Hartford
NC_007109.1	RfUR	Rickettsia felis URRWXCal2 URRWXCal2; California 2
NZ_CP012420.1	RaAc	Rickettsia amblyommatis Ac37
NC_015866.1	RhXX	Rickettsia heilongjiangensis 054 054
NZ_CP013133.1	RrHJ	Rickettsia rhipicephali HJ#5
NC_017028.1	RaGA	Rickettsia amblyommatis str. GAT-30V GAT-30V
NZ_CP015012.1	RaAn	Rickettsia amblyommatis An13
